Team,W,L,ERA,SO,WHIP,FIP
Braves,106,56,3.25,1232,1.22,3.53
Astros,102,60,3.5,1187,1.29,3.86
Padres,98,64,3.63,1217,1.3,3.84
Mets,88,74,3.77,1129,1.31,4.18
Dodgers,83,79,3.81,1178,1.33,4.06
Yankees,114,48,3.82,1080,1.25,4.15
Pirates,69,93,3.91,1112,1.35,4.08
Giants,89,74,4.19,1089,1.37,4.42
Red Sox,92,70,4.19,1025,1.33,4.4
Blue Jays,88,74,4.29,1154,1.39,4.36
Cardinals,83,79,4.32,972,1.41,4.4
Devil Rays,63,99,4.35,1008,1.43,4.79
Expos,65,97,4.39,1017,1.39,4.38
Reds,77,85,4.44,1098,1.37,4.45
Indians,89,73,4.45,1037,1.45,4.54
Angels,85,77,4.49,1091,1.46,4.51
Cubs,90,73,4.5,1207,1.42,4.35
Brewers,74,88,4.63,1063,1.44,4.62
Diamondbacks,65,97,4.64,908,1.36,4.69
Phillies,75,87,4.64,1176,1.38,4.43
Orioles,79,83,4.74,1065,1.43,4.4
Twins,70,92,4.76,952,1.44,4.48
Athletics,74,88,4.83,922,1.45,4.7
Tigers,65,97,4.93,947,1.48,4.81
Mariners,76,85,4.95,1156,1.44,4.54
Rangers,88,74,5,994,1.5,4.42
Rockies,77,85,5,951,1.5,4.7
Royals,72,89,5.16,999,1.5,4.83
Marlins,54,108,5.2,1016,1.61,4.97
White Sox,80,82,5.24,911,1.49,5.1
Braves,103,59,3.65,1197,1.3,3.85
Diamondbacks,100,62,3.77,1198,1.32,4.27
Astros,97,65,3.84,1204,1.35,3.69
Reds,96,67,3.99,1081,1.33,4.74
Red Sox,94,68,4,1131,1.3,4.1
Yankees,98,64,4.16,1111,1.38,4.35
Mets,97,66,4.27,1172,1.37,4.39
Pirates,78,83,4.35,1083,1.45,4.51
Dodgers,77,85,4.45,1077,1.4,4.72
Padres,74,88,4.47,1078,1.4,4.57
Expos,68,94,4.69,1043,1.45,4.38
Giants,86,76,4.71,1076,1.47,4.84
Cardinals,75,86,4.76,1025,1.51,4.68
Athletics,87,75,4.76,967,1.46,4.53
Orioles,78,84,4.77,982,1.47,5.01
Angels,70,92,4.79,877,1.46,4.94
Marlins,64,98,4.9,943,1.54,4.85
Indians,97,65,4.91,1120,1.47,4.78
White Sox,75,86,4.92,968,1.53,5.06
Blue Jays,84,78,4.93,1009,1.5,4.77
Phillies,77,85,4.93,1030,1.47,5.05
Twins,63,97,5.03,927,1.46,4.82
Devil Rays,69,93,5.06,1055,1.61,4.84
Rangers,95,67,5.07,979,1.49,4.6
Brewers,74,87,5.08,987,1.55,5.07
Tigers,69,92,5.22,976,1.49,5.05
Mariners,79,83,5.25,980,1.6,5.08
Cubs,67,95,5.27,980,1.5,4.94
Royals,64,97,5.35,831,1.58,5.31
Rockies,72,90,6.03,1032,1.71,5.52
Braves,95,67,4.06,1093,1.33,4.19
Dodgers,86,76,4.1,1154,1.37,4.52
Mets,94,68,4.16,1164,1.36,4.31
Giants,97,65,4.21,1076,1.44,4.38
Red Sox,85,77,4.24,1121,1.33,4.29
Reds,85,77,4.33,1015,1.45,4.88
Diamondbacks,85,77,4.36,1220,1.34,4.28
Cardinals,95,67,4.4,1100,1.4,4.77
Padres,76,86,4.52,1071,1.43,4.84
Mariners,91,71,4.53,998,1.44,4.65
Athletics,91,70,4.58,963,1.5,4.61
Marlins,79,82,4.59,1051,1.49,4.65
Brewers,73,89,4.63,967,1.52,4.98
White Sox,95,67,4.67,1037,1.46,4.83
Tigers,79,83,4.73,978,1.44,4.5
Yankees,87,74,4.76,1040,1.43,4.61
Phillies,65,97,4.79,1123,1.46,4.81
Indians,90,72,4.84,1213,1.51,4.48
Devil Rays,69,92,4.86,955,1.46,4.85
Pirates,69,93,4.94,1070,1.56,4.72
Angels,82,80,5.02,846,1.52,5.46
Expos,67,95,5.14,1011,1.51,4.71
Twins,69,93,5.16,1042,1.5,4.76
Blue Jays,83,79,5.17,978,1.51,4.84
Cubs,65,97,5.26,1143,1.49,5.11
Rockies,82,80,5.29,1001,1.51,5.13
Orioles,74,88,5.37,1017,1.54,5.01
Astros,72,90,5.42,1064,1.53,5.14
Royals,77,85,5.48,927,1.58,5.54
Rangers,71,91,5.52,918,1.64,5.21
Mariners,116,46,3.54,1051,1.2,4.12
Athletics,102,60,3.59,1117,1.25,3.88
Braves,88,74,3.59,1133,1.29,3.96
Diamondbacks,92,70,3.88,1297,1.24,4.08
Cardinals,93,69,3.96,1083,1.33,4.57
Cubs,88,74,4.03,1344,1.33,3.91
Yankees,95,65,4.04,1266,1.31,3.79
Mets,82,80,4.08,1191,1.28,4.07
Phillies,86,76,4.16,1086,1.35,4.31
Red Sox,82,79,4.18,1259,1.35,3.94
Giants,90,72,4.19,1080,1.38,4.12
Angels,75,87,4.2,947,1.38,4.48
Dodgers,86,76,4.25,1212,1.32,4.26
Blue Jays,80,82,4.28,1041,1.4,4.25
Marlins,76,86,4.32,1119,1.4,4.29
Astros,93,69,4.39,1228,1.33,4.48
Twins,85,77,4.51,965,1.35,4.48
Padres,79,83,4.52,1088,1.38,4.62
White Sox,83,79,4.55,921,1.37,4.64
Indians,91,71,4.65,1218,1.44,3.99
Brewers,68,94,4.65,1057,1.48,4.9
Expos,68,94,4.69,1103,1.42,4.46
Orioles,63,98,4.7,938,1.42,4.76
Reds,66,96,4.78,943,1.45,4.7
Royals,65,97,4.87,911,1.47,5
Devil Rays,62,100,4.96,1030,1.46,4.85
Tigers,66,96,5.01,859,1.52,4.8
Pirates,62,100,5.05,908,1.44,4.63
Rockies,73,89,5.29,1058,1.48,5.13
Rangers,73,89,5.71,951,1.58,5.11
Braves,101,59,3.13,1058,1.26,3.83
Giants,95,66,3.55,992,1.3,3.8
Angels,99,63,3.69,999,1.28,4.25
Athletics,103,59,3.69,1021,1.28,3.87
Dodgers,92,70,3.69,1132,1.28,4.12
Cardinals,97,65,3.7,1009,1.32,4.09
Red Sox,93,69,3.75,1157,1.22,3.74
Yankees,103,58,3.89,1135,1.27,3.62
Mets,75,86,3.91,1107,1.35,4.14
Diamondbacks,98,64,3.93,1303,1.23,3.67
Expos,83,79,3.98,1088,1.36,4.08
Astros,84,78,4,1219,1.36,3.88
Mariners,93,69,4.07,1063,1.29,4.11
Twins,94,67,4.12,1026,1.31,4.2
Phillies,80,81,4.17,1075,1.35,4.18
Pirates,72,89,4.24,920,1.43,4.49
Reds,78,84,4.29,980,1.41,4.41
Cubs,67,95,4.3,1333,1.37,4
Marlins,79,83,4.36,1104,1.43,4.21
Orioles,67,95,4.46,967,1.41,4.74
White Sox,81,81,4.57,945,1.37,4.61
Padres,66,96,4.66,1108,1.46,4.37
Brewers,56,106,4.76,1026,1.49,4.86
Blue Jays,78,84,4.81,991,1.46,4.56
Indians,74,88,4.91,1058,1.48,4.16
Tigers,55,106,4.94,794,1.45,4.45
Rangers,72,90,5.16,1030,1.53,4.84
Royals,62,100,5.21,909,1.5,4.91
Rockies,73,89,5.21,920,1.5,5.08
Devil Rays,55,106,5.29,925,1.52,5.11
Dodgers,85,77,3.16,1289,1.22,3.56
Athletics,96,66,3.63,1018,1.27,4.03
Giants,100,61,3.73,1006,1.32,4.09
Mariners,93,69,3.76,1001,1.25,4.29
Cubs,88,74,3.83,1404,1.32,3.8
Diamondbacks,84,78,3.84,1291,1.31,3.83
Astros,87,75,3.87,1139,1.32,4.23
Expos,83,79,4.01,1028,1.34,4.35
